sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.074;98;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@40;ExampleAgent@41;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.098;101;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@42;ExampleAgent@43;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.077;102;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@44;ExampleAgent@45;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.089;96;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@46;ExampleAgent@47;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.092;117;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@48;ExampleAgent@49;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.075;99;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@50;ExampleAgent@51;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.080;103;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@52;ExampleAgent@53;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.075;100;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@54;ExampleAgent@55;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.088;98;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@56;ExampleAgent@57;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.074;93;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@58;ExampleAgent@59;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;96;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@60;ExampleAgent@61;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.077;95;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@62;ExampleAgent@63;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.072;96;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@64;ExampleAgent@65;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.069;95;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@66;ExampleAgent@67;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.074;97;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@68;ExampleAgent@69;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.068;93;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@70;ExampleAgent@71;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.075;99;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@72;ExampleAgent@73;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;104;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@74;ExampleAgent@75;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.073;101;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@76;ExampleAgent@77;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.068;93;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@78;ExampleAgent@79;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.083;109;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@80;ExampleAgent@81;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.068;94;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@82;ExampleAgent@83;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;96;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@84;ExampleAgent@85;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.069;95;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@86;ExampleAgent@87;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.072;93;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@88;ExampleAgent@89;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.072;95;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@90;ExampleAgent@91;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.090;109;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@92;ExampleAgent@93;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.073;100;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@94;ExampleAgent@95;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.081;101;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@96;ExampleAgent@97;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.085;118;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@98;ExampleAgent@99;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.080;102;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@100;ExampleAgent@101;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.071;97;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@102;ExampleAgent@103;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.084;111;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@104;ExampleAgent@105;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;93;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@106;ExampleAgent@107;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.094;93;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@108;ExampleAgent@109;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.069;95;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@110;ExampleAgent@111;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.081;93;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@112;ExampleAgent@113;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
