sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Profile 1;Profile 2;Profile 3
0.386;162;;180rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;Atlas32016@2;Atlas32016@3;Atlas32016@4;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.175;180;;180rounds;Yes;No;3;0.36458;0.86559;0.00000;0.58311;2.02267;Caduceus@5;Atlas32016@6;Atlas32016@7;0.7925000000000001;0.3645847219301369;0.8655880773541732;0.7925000000000001;0.3645847219301369;0.8655880773541732;0.7925000000000001;0.3645847219301369;0.8655880773541732;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.840;181;;180rounds;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;ClockworkAgent@8;Atlas32016@9;Atlas32016@10;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.861;180;;180rounds;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;Atlas32016@11;Caduceus@12;Atlas32016@13;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.898;178;;180rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;Caduceus@14;Caduceus@15;Atlas32016@16;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.481;173;;180rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;ClockworkAgent@17;Caduceus@18;Atlas32016@19;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.558;181;;180rounds;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;Atlas32016@20;ClockworkAgent@21;Atlas32016@22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.650;174;;180rounds;Yes;No;3;0.63438;0.90631;0.00000;0.35870;2.24485;Caduceus@23;ClockworkAgent@24;Atlas32016@25;0.7041666666666667;0.6343800684069133;0.9063077118400287;0.7041666666666667;0.6343800684069133;0.9063077118400287;0.7041666666666667;0.6343800684069133;0.9063077118400287;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.818;173;;180rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;ClockworkAgent@26;ClockworkAgent@27;Atlas32016@28;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.397;153;;180rounds;Yes;No;3;0.60862;0.85031;0.00000;0.34636;2.24560;Atlas32016@29;Atlas32016@30;Caduceus@31;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7866666666666667;0.6086178232668726;0.8503107445423197;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.020;154;;180rounds;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;Caduceus@32;Atlas32016@33;Caduceus@34;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;party1_utility.xml;party2_utility.xml;party3_utility.xml
6.318;174;;180rounds;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;ClockworkAgent@35;Atlas32016@36;Caduceus@37;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.895;154;;180rounds;Yes;No;3;0.61083;0.90188;0.04701;0.17694;2.21414;Atlas32016@38;Caduceus@39;Caduceus@40;0.6108333333333333;0.9018839216267063;0.7014269488293756;0.6108333333333333;0.9018839216267063;0.7014269488293756;0.6108333333333333;0.9018839216267063;0.7014269488293756;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.995;154;;180rounds;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;Caduceus@41;Caduceus@42;Caduceus@43;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;party1_utility.xml;party2_utility.xml;party3_utility.xml
5.890;174;;180rounds;Yes;No;3;0.67917;0.77670;0.08966;0.22345;2.19670;ClockworkAgent@44;Caduceus@45;Caduceus@46;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.6791666666666667;0.7408336480570514;0.7767005001446213;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.900;157;;180rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;Atlas32016@47;ClockworkAgent@48;Caduceus@49;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
