sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Profile 1;Profile 2;Profile 3
0.409;73;;180rounds;Yes;No;3;0.69000;0.85225;0.00000;0.18084;2.39353;AgentLight@0;AgentLight@1;AgentLight@2;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;party1_utility.xml;party2_utility.xml;party3_utility.xml
;64;Session genius.core.session.Session@31a8cfce failed: Failed to execute protocol: null:[agents.anac.y2016.atlas3.Atlas32016, agents.anac.y2016.agentlight.AgentLight, agents.anac.y2016.agentlight.AgentLight];180rounds;No;;0;;;;;;Atlas32016;AgentLight;AgentLight;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
2.684;180;;180rounds;Yes;No;3;0.66324;0.93590;0.00000;0.09362;2.30831;Caduceus@6;AgentLight@7;AgentLight@8;0.7091666666666667;0.9359002430413121;0.6632429489186705;0.7091666666666667;0.9359002430413121;0.6632429489186705;0.7091666666666667;0.9359002430413121;0.6632429489186705;party1_utility.xml;party2_utility.xml;party3_utility.xml
;73;Session genius.core.session.Session@2d89fbd4 failed: Failed to execute protocol: null:[agents.anac.y2016.agentlight.AgentLight, agents.anac.y2016.atlas3.Atlas32016, agents.anac.y2016.agentlight.AgentLight];180rounds;No;;0;;;;;;AgentLight;Atlas32016;AgentLight;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;40;Session genius.core.session.Session@2a8f6ff failed: Failed to execute protocol: null:[agents.anac.y2016.atlas3.Atlas32016, agents.anac.y2016.atlas3.Atlas32016, agents.anac.y2016.agentlight.AgentLight];180rounds;No;;0;;;;;;Atlas32016;Atlas32016;AgentLight;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;159;Session genius.core.session.Session@3100e207 failed: Failed to execute protocol: null:[agents.anac.y2016.caduceus.Caduceus, agents.anac.y2016.atlas3.Atlas32016, agents.anac.y2016.agentlight.AgentLight];180rounds;No;;0;;;;;;Caduceus;Atlas32016;AgentLight;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
2.038;180;;180rounds;Yes;No;3;0.61083;0.90188;0.04701;0.17694;2.21414;AgentLight@18;Caduceus@19;AgentLight@20;0.6108333333333333;0.9018839216267063;0.7014269488293756;0.6108333333333333;0.9018839216267063;0.7014269488293756;0.6108333333333333;0.9018839216267063;0.7014269488293756;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.245;181;;180rounds;Yes;No;3;0.65164;0.95238;0.00000;0.09453;2.32568;Atlas32016@21;Caduceus@22;AgentLight@23;0.7216666666666667;0.9523769815965673;0.6516396056070828;0.7216666666666667;0.9523769815965673;0.6516396056070828;0.7216666666666667;0.9523769815965673;0.6516396056070828;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.499;180;;180rounds;Yes;No;3;0.61203;0.97619;0.00000;0.13205;2.30988;Caduceus@24;Caduceus@25;AgentLight@26;0.7216666666666667;0.9761884907982836;0.6120294061545479;0.7216666666666667;0.9761884907982836;0.6120294061545479;0.7216666666666667;0.9761884907982836;0.6120294061545479;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.405;179;;180rounds;Yes;No;3;0.64466;0.89239;0.00000;0.35604;2.19705;AgentLight@27;AgentLight@28;Atlas32016@29;0.66;0.6446550651737297;0.8923915946596613;0.66;0.6446550651737297;0.8923915946596613;0.66;0.6446550651737297;0.8923915946596613;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.369;179;;180rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;Atlas32016@30;AgentLight@31;Atlas32016@32;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.929;180;;180rounds;Yes;No;3;0.63438;0.90631;0.00000;0.35870;2.24485;Caduceus@33;AgentLight@34;Atlas32016@35;0.7041666666666667;0.6343800684069133;0.9063077118400287;0.7041666666666667;0.6343800684069133;0.9063077118400287;0.7041666666666667;0.6343800684069133;0.9063077118400287;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.382;177;;180rounds;Yes;No;3;0.41833;0.88000;0.00000;0.51977;2.04428;AgentLight@36;Atlas32016@37;Atlas32016@38;0.88;0.4183343946196012;0.7459415298378556;0.88;0.4183343946196012;0.7459415298378556;0.88;0.4183343946196012;0.7459415298378556;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.375;150;;180rounds;Yes;No;3;0.58417;0.91032;0.00000;0.38363;2.15901;Atlas32016@39;Atlas32016@40;Atlas32016@41;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.5841666666666666;0.6645211426556008;0.9103208951175262;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.188;152;;180rounds;Yes;No;3;0.67525;0.86083;0.03941;0.26648;2.22075;Caduceus@42;Atlas32016@43;Atlas32016@44;0.8608333333333333;0.6752468644733298;0.6846725324165105;0.8608333333333333;0.6752468644733298;0.6846725324165105;0.8608333333333333;0.6752468644733298;0.6846725324165105;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.899;179;;180rounds;Yes;No;3;0.73250;0.79050;0.04788;0.21180;2.27467;AgentLight@45;Caduceus@46;Atlas32016@47;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7516666666666666;0.7324961467802069;0.7905033695301777;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.495;178;;180rounds;Yes;No;3;0.69000;0.85225;0.00000;0.18084;2.39353;Atlas32016@48;Caduceus@49;Atlas32016@50;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.591;181;;180rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;Caduceus@51;Caduceus@52;Atlas32016@53;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.177;179;;180rounds;Yes;No;3;0.69167;0.76510;0.08786;0.20072;2.21407;AgentLight@54;AgentLight@55;Caduceus@56;0.6916666666666667;0.7573103866123065;0.7650971568330336;0.6916666666666667;0.7573103866123065;0.7650971568330336;0.6916666666666667;0.7573103866123065;0.7650971568330336;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.542;153;;180rounds;Yes;No;3;0.56333;0.92369;0.00000;0.22173;2.20626;Atlas32016@57;AgentLight@58;Caduceus@59;0.5633333333333334;0.9236874945985494;0.7192430014924296;0.5633333333333334;0.9236874945985494;0.7192430014924296;0.5633333333333334;0.9236874945985494;0.7192430014924296;party1_utility.xml;party2_utility.xml;party3_utility.xml
