24,1,0.13259668508287292,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
24,2,0.13259668508287292,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
25,1,0.13812154696132597,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
25,2,0.13812154696132597,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
26,1,0.143646408839779,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
26,2,0.143646408839779,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
27,1,0.14917127071823205,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
27,2,0.14917127071823205,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
28,1,0.15469613259668508,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
28,2,0.15469613259668508,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
29,1,0.16022099447513813,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
29,2,0.16022099447513813,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
30,1,0.16574585635359115,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
30,2,0.16574585635359115,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
31,1,0.1712707182320442,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
31,2,0.1712707182320442,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
32,1,0.17679558011049723,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
32,2,0.17679558011049723,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
33,1,0.18232044198895028,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
33,2,0.18232044198895028,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
34,1,0.1878453038674033,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
34,2,0.1878453038674033,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
35,1,0.19337016574585636,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
35,2,0.19337016574585636,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
36,1,0.19889502762430938,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
36,2,0.19889502762430938,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
37,1,0.20441988950276244,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
37,2,0.20441988950276244,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
38,1,0.20994475138121546,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
38,2,0.20994475138121546,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
39,1,0.2154696132596685,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
39,2,0.2154696132596685,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
40,1,0.22099447513812154,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
40,2,0.22099447513812154,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
41,1,0.2265193370165746,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
