sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Profile 1;Profile 2;Profile 3
;11;Session genius.core.session.Session@4fb14aaa failed: Failed to execute protocol: null:[agents.ABMPAgent2, agents.ABMPAgent2, agents.ABMPAgent2];180rounds;No;;0;;;;;;ABMPAgent2;ABMPAgent2;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;37;Session genius.core.session.Session@454921da failed: Failed to execute protocol: null:[C:\Users\Wang\ExampleAgent\out\production\ExampleAgent\ExampleAgent.class, agents.ABMPAgent2, agents.ABMPAgent2];180rounds;No;;0;;;;;;ExampleAgent;ABMPAgent2;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;7;Session genius.core.session.Session@4bb717 failed: Failed to execute protocol: null:[agents.BayesianAgent, agents.ABMPAgent2, agents.ABMPAgent2];180rounds;No;;0;;;;;;BayesianAgent;ABMPAgent2;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;33;Session genius.core.session.Session@318113f2 failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\Wang\ExampleAgent\out\production\ExampleAgent\ExampleAgent.class, agents.ABMPAgent2];180rounds;No;;0;;;;;;ABMPAgent2;ExampleAgent;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
0.855;93;;180rounds;Yes;No;3;0.46850;0.65926;0.32435;0.55783;1.60276;ExampleAgent@26;ExampleAgent@27;ABMPAgent2@28;0.475;0.4684975097397819;0.6592637828562934;0.475;0.4684975097397819;0.6592637828562934;0.475;0.4684975097397819;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;33;Session genius.core.session.Session@4ef35958 failed: Failed to execute protocol: null:[agents.BayesianAgent, C:\Users\Wang\ExampleAgent\out\production\ExampleAgent\ExampleAgent.class, agents.ABMPAgent2];180rounds;No;;0;;;;;;BayesianAgent;ExampleAgent;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;11;Session genius.core.session.Session@264eee84 failed: Failed to execute protocol: null:[agents.ABMPAgent2, agents.BayesianAgent, agents.ABMPAgent2];180rounds;No;;0;;;;;;ABMPAgent2;BayesianAgent;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
2.203;93;;180rounds;Yes;No;3;0.61106;0.81833;0.05063;0.22560;2.16195;ExampleAgent@35;BayesianAgent@36;ABMPAgent2@37;0.8183333333333335;0.732553347071756;0.6110631510293218;0.8183333333333335;0.732553347071756;0.6110631510293218;0.8183333333333335;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;6;Session genius.core.session.Session@35799899 failed: Failed to execute protocol: null:[agents.BayesianAgent, agents.BayesianAgent, agents.ABMPAgent2];180rounds;No;;0;;;;;;BayesianAgent;BayesianAgent;ABMPAgent2;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
;34;Session genius.core.session.Session@307fd68f failed: Failed to execute protocol: null:[agents.ABMPAgent2, agents.ABMPAgent2, C:\Users\Wang\ExampleAgent\out\production\ExampleAgent\ExampleAgent.class];180rounds;No;;0;;;;;;ABMPAgent2;ABMPAgent2;ExampleAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
0.842;94;;180rounds;Yes;No;3;0.49657;0.72707;0.22142;0.46778;1.82947;ExampleAgent@44;ABMPAgent2@45;ExampleAgent@46;0.6058333333333333;0.4965651571439735;0.7270704194060408;0.6058333333333333;0.4965651571439735;0.7270704194060408;0.6058333333333333;0.0;0.7270704194060408;party1_utility.xml;party2_utility.xml;party3_utility.xml
;93;Session genius.core.session.Session@712597f4 failed: Failed to execute protocol: null:[agents.BayesianAgent, agents.ABMPAgent2, C:\Users\Wang\ExampleAgent\out\production\ExampleAgent\ExampleAgent.class];180rounds;No;;0;;;;;;BayesianAgent;ABMPAgent2;ExampleAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;party1_utility;party2_utility;party3_utility
0.840;93;;180rounds;Yes;No;3;0.66845;0.86917;0.00000;0.27360;2.26591;ABMPAgent2@50;ExampleAgent@51;ExampleAgent@52;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.0;0.6684535901130682;0.7282936928810025;party1_utility.xml;party2_utility.xml;party3_utility.xml
