1,1,0.16666666666666666,ExampleAgent@30,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
1,2,0.16666666666666666,ExampleAgent@31,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
1,3,0.16666666666666666,ExampleAgent@32,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
2,1,0.3333333333333333,ExampleAgent@30,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
2,2,0.3333333333333333,ExampleAgent@31,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
2,3,0.3333333333333333,ExampleAgent@32,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
3,1,0.5,ExampleAgent@30,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
3,2,0.5,ExampleAgent@31,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
3,3,0.5,ExampleAgent@32,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
4,1,0.6666666666666666,ExampleAgent@30,(Accept  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
4,2,0.6666666666666666,ExampleAgent@31,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
4,3,0.6666666666666666,ExampleAgent@32,(Accept  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
5,1,0.8333333333333334,ExampleAgent@30,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
5,2,0.8333333333333334,ExampleAgent@31,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
5,3,0.8333333333333334,ExampleAgent@32,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
ended-no-agreement
